year,iso3,country,categoryLevel,categoryId,categoryName,category,parentGroupId,scope,dependency,hhi,importance,vulnerability,chinaImport,totalImport
2010,COD,Dem. Rep. of the Congo,fine,D08,塑料及其制品,塑料及其制品,D,manufactures,0.12233136126074547,0.489514906734441,0.06524876785739019,0.18468833888154243,19133.732,156409.05
2010,ARG,Argentina,fine,F07,鞋帽伞杖与羽毛人发制品,鞋帽伞杖与羽毛人发制品,F,manufactures,0.27025725357253116,0.4445312926250983,0.008391673725979825,0.289538530628379,112659.886,416861.65499999997
2010,FRA,France,fine,E01,皮革、毛皮与箱包容器,皮革、毛皮与箱包容器,E,manufactures,0.36634350108261293,0.35754700478471985,0.008557117397150144,0.28629701859841145,1447033.1099999999,3949935.2539999997
2010,ZAF,South Africa,fine,J01,通用机械、动力与工业设备,通用机械、动力与工业设备,J,manufactures,0.19867135818662482,0.25155450098642207,0.18821124566307101,0.16262549147423808,2480310.1610000003,12484487.868
2010,COD,Dem. Rep. of the Congo,fine,J01,通用机械、动力与工业设备,通用机械、动力与工业设备,J,manufactures,0.12094745719705118,0.4704086393778926,0.19133754007152726,0.18229656198264518,55473.618,458658.82
2010,TZA,United Rep. of Tanzania,fine,M02,玩具、游戏与体育用品,玩具、游戏与体育用品,M,manufactures,0.292275234649825,0.4535686413580526,0.0016272177329795976,0.28660506013355186,2573.9919999999997,8806.74
2010,HTI,Haiti,fine,J01,通用机械、动力与工业设备,通用机械、动力与工业设备,J,manufactures,0.07907759449345961,0.6665475388720654,0.08484883934226532,0.21834593684726072,13081.465,165425.682
2010,BTN,Bhutan,fine,J02,电气、电子、通信与音视频设备,电气、电子、通信与音视频设备,J,manufactures,0.058995809437811846,0.6693215742727373,0.10376581449302141,0.2176929087785867,4022.538,68183.453
2010,CAF,Central African Rep.,fine,D08,塑料及其制品,塑料及其制品,D,manufactures,0.06992477031877314,0.6608909203948267,0.03645918129661122,0.218968241954214,568.463,8129.637
2010,KGZ,Kyrgyzstan,fine,F05,非针织服装及附件,非针织服装及附件,F,manufactures,0.8615004125827573,0.8229003041848771,0.033085465838139635,0.5744080039875866,81890.853,95056.081
2010,SDN,Sudan (...2011),fine,I02,钢铁制品,钢铁制品,I,manufactures,0.4927903405296746,0.46232556274587905,0.04304943723856088,0.3214376715930158,197431.9,400640.767
2010,KWT,Kuwait,fine,M01,家具、寝具、灯具与预制建筑,家具、寝具、灯具与预制建筑,M,manufactures,0.39420935285227354,0.23317292169073198,0.019347781990756385,0.2529969726609792,162023.994,411010.02
2010,VCT,Saint Vincent and the Grenadines,fine,F05,非针织服装及附件,非针织服装及附件,F,manufactures,0.3380056276466105,0.4598024187180329,0.01157393086478866,0.2886407551320562,1294.208,3828.954
2010,MKD,North Macedonia,fine,F07,鞋帽伞杖与羽毛人发制品,鞋帽伞杖与羽毛人发制品,F,manufactures,0.2830509567615617,0.42288971339853,0.01080902718185083,0.274611195984738,11824.272,41774.358
2010,LBN,Lebanon,fine,D08,塑料及其制品,塑料及其制品,D,manufactures,0.11794196371160878,0.26085157527397507,0.04413294077137167,0.12142290096426404,63957.559,542279.923
2010,SWZ,Eswatini,fine,F04,针织服装及附件,针织服装及附件,F,manufactures,0.014945360970128767,0.867244193882954,0.0228547262093008,0.27777172091690017,487.705,32632.534
2010,TUN,Tunisia,fine,I02,钢铁制品,钢铁制品,I,manufactures,0.10692630847965141,0.3347468981823842,0.026290840113593204,0.14884606520250368,51626.13,482819.717
2010,AGO,Angola,fine,L01,光学、测量、医疗与精密仪器,光学、测量、医疗与精密仪器,L,manufactures,0.04917350023049125,0.2937636974105681,0.027008105370092763,0.10324425204425848,16716.957,339958.655
2010,OMN,Oman,fine,D08,塑料及其制品,塑料及其制品,D,manufactures,0.044336074435154985,0.48610424664787044,0.029510992051832618,0.14799669575699756,15187.035,342543.52
2010,BRB,Barbados,fine,M01,家具、寝具、灯具与预制建筑,家具、寝具、灯具与预制建筑,M,manufactures,0.08498904596343787,0.4315131980791529,0.01890774122646504,0.19646196372306846,1917.911,22566.567
2010,ZAF,South Africa,fine,J02,电气、电子、通信与音视频设备,电气、电子、通信与音视频设备,J,manufactures,0.29682893752017675,0.23924956274745743,0.13123607898717718,0.2128273108546952,2583953.217,8705193.094
2010,VCT,Saint Vincent and the Grenadines,fine,E01,皮革、毛皮与箱包容器,皮革、毛皮与箱包容器,E,manufactures,0.299233301476054,0.4381698206617313,0.0021348854077454602,0.28256942165035215,211.341,706.275
2010,RWA,Rwanda,fine,D08,塑料及其制品,塑料及其制品,D,manufactures,0.049796804265127344,0.47779540573525275,0.04463021980376572,0.15613488576888182,2462.114,49443.213
2010,MNP,N. Mariana Isds,fine,J02,电气、电子、通信与音视频设备,电气、电子、通信与音视频设备,J,manufactures,0.0,0.914003841009577,0.023576064447320078,0.27027571817388923,0.0,996.7460000000001
2010,LBR,Liberia,fine,I02,钢铁制品,钢铁制品,I,manufactures,0.7269413841768932,0.9443481922491891,0.013295893649234572,0.5290089214875758,122753.407,168862.868
2010,DOM,Dominican Rep.,fine,F04,针织服装及附件,针织服装及附件,F,manufactures,0.5431496541572508,0.48852126870403945,0.008580183777468716,0.36635355560235416,50054.367,92155.75600000001
2010,HRV,Croatia,fine,F07,鞋帽伞杖与羽毛人发制品,鞋帽伞杖与羽毛人发制品,F,manufactures,0.418550976736222,0.36014383067199307,0.01946111263227779,0.31030157252902907,119091.69900000001,284533.32
2010,ROU,Romania,fine,J01,通用机械、动力与工业设备,通用机械、动力与工业设备,J,manufactures,0.04704512973643211,0.25786009916304886,0.14783129831627928,0.10450972337903346,342726.884,7285066.189
2010,BHS,Bahamas,fine,F04,针织服装及附件,针织服装及附件,F,manufactures,0.09462027933874158,0.6663865657830119,0.003379299968716077,0.24680460218268152,1701.1200000000001,17978.387
2010,SYR,Syria,fine,D08,塑料及其制品,塑料及其制品,D,manufactures,0.05612898932518084,0.4292462679711466,0.08873039741357308,0.1357513947260247,66627.585,1187044.089
2010,MAC,"China, Macao SAR",fine,M01,家具、寝具、灯具与预制建筑,家具、寝具、灯具与预制建筑,M,manufactures,0.5577915771085223,0.5058617507664026,0.012269160793323667,0.37765388294630897,28562.29,51206.026
2010,PRK,Dem. People's Rep. of Korea,fine,F05,非针织服装及附件,非针织服装及附件,F,manufactures,0.8645634251695208,0.9271404912633104,0.006682636668842735,0.605559135477447,10829.301,12525.745
2010,DEU,Germany,fine,F07,鞋帽伞杖与羽毛人发制品,鞋帽伞杖与羽毛人发制品,F,manufactures,0.3174336715672694,0.2163624848884617,0.011146730876734973,0.23923089132095415,2861398.921,9014163.201
2010,ARE,United Arab Emirates,fine,F04,针织服装及附件,针织服装及附件,F,manufactures,0.6144018022795684,0.6002479000293236,0.020695718888054233,0.44009128055429453,1607864.143,2616958.702
2010,GRD,Grenada,fine,F05,非针织服装及附件,非针织服装及附件,F,manufactures,0.10429853621831041,0.7959876736736048,0.04416591896451548,0.2907016583815133,834.9830000000001,8005.702
2010,KIR,Kiribati,fine,I02,钢铁制品,钢铁制品,I,manufactures,0.400721932674232,0.683673578294983,0.02436608095576798,0.347288521923479,552.737,1379.353
2010,SYC,Seychelles,fine,M02,玩具、游戏与体育用品,玩具、游戏与体育用品,M,manufactures,0.03667394079804371,0.3571932125090258,0.0049519044947242425,0.1857729628400454,67.878,1850.8509999999999
2010,SLE,Sierra Leone,fine,E01,皮革、毛皮与箱包容器,皮革、毛皮与箱包容器,E,manufactures,0.6458960406764109,0.620406119578417,0.00145764072427772,0.4930453992152149,506.854,784.73
2010,MAC,"China, Macao SAR",fine,J02,电气、电子、通信与音视频设备,电气、电子、通信与音视频设备,J,manufactures,0.370186725440524,0.566271232891861,0.190017419063066,0.32624577806944743,293575.947,793048.283
2010,AUS,Australia,fine,M01,家具、寝具、灯具与预制建筑,家具、寝具、灯具与预制建筑,M,manufactures,0.6010619171604797,0.4233027485856778,0.021172012858710048,0.37576264343306304,2035071.974,3385794.235
2010,SWZ,Eswatini,fine,D08,塑料及其制品,塑料及其制品,D,manufactures,0.00717800404769558,0.8385905604588981,0.0498103763919349,0.23821173777511814,510.503,71120.467
2010,HND,Honduras,fine,L01,光学、测量、医疗与精密仪器,光学、测量、医疗与精密仪器,L,manufactures,0.1365001374567011,0.3989771996551949,0.011910133869285817,0.16558308024940274,9583.342,70207.563
2010,CIV,CÃ´te d'Ivoire,fine,J01,通用机械、动力与工业设备,通用机械、动力与工业设备,J,manufactures,0.09526625980433487,0.369303480960181,0.149390795401956,0.14959116159296088,65646.489,689084.353
2010,TUV,Tuvalu,fine,J02,电气、电子、通信与音视频设备,电气、电子、通信与音视频设备,J,manufactures,0.06155045185650854,0.789582653604168,0.008239349480717372,0.2605872782310358,31.037,504.253
2010,SAU,Saudi Arabia,fine,J01,通用机械、动力与工业设备,通用机械、动力与工业设备,J,manufactures,0.16044203232614743,0.2754301174778424,0.17127192644633646,0.1545147756745302,2618729.223,16321964.918
2010,SVK,Slovakia,fine,E01,皮革、毛皮与箱包容器,皮革、毛皮与箱包容器,E,manufactures,0.1256181567637612,0.2918833170147378,0.006057297951080367,0.15026043317406873,39294.795,312811.428
2010,NRU,Nauru,fine,F04,针织服装及附件,针织服装及附件,F,manufactures,0.0,0.9958211228236169,0.0023533017727554546,0.3044796276082273,0.0,25.259999999999998
2010,UGA,Uganda,fine,F04,针织服装及附件,针织服装及附件,F,manufactures,0.4063501206340669,0.47499521003494183,0.005342083006877887,0.30630563241079817,7058.929,17371.543999999998
2010,DNK,Denmark,fine,J02,电气、电子、通信与音视频设备,电气、电子、通信与音视频设备,J,manufactures,0.08476744856712554,0.29547885297249415,0.14085540957802242,0.14345331931705924,786015.609,9272611.389
2010,JPN,Japan,fine,M02,玩具、游戏与体育用品,玩具、游戏与体育用品,M,manufactures,0.8019993583470167,0.7082673172066615,0.013565646380175588,0.5555465373351673,4175779.3230000003,5206711.551
2010,BRB,Barbados,fine,D08,塑料及其制品,塑料及其制品,D,manufactures,0.05031395828461948,0.5117116105252896,0.029687453506336253,0.17084970108325592,1782.7369999999999,35432.255
2010,NAM,Namibia,fine,J02,电气、电子、通信与音视频设备,电气、电子、通信与音视频设备,J,manufactures,0.06333201042634354,0.6498242187503032,0.08726052854033606,0.22490369983709416,25547.143,403384.368
2010,CRI,Costa Rica,fine,D08,塑料及其制品,塑料及其制品,D,manufactures,0.04462869325764428,0.4658275575493485,0.07230467062828848,0.1485047091921792,35724.473,800482.165
2010,MAR,Morocco,fine,J01,通用机械、动力与工业设备,通用机械、动力与工业设备,J,manufactures,0.09126740149385479,0.3335984449849854,0.15619249863333343,0.1398201607034332,296203.627,3245448.234
2010,BHR,Bahrain,fine,F05,非针织服装及附件,非针织服装及附件,F,manufactures,0.2912435252878672,0.2824593781637535,0.008795897453042023,0.23159232365905905,22178.561999999998,76151.262
2010,STP,Sao Tome and Principe,fine,J01,通用机械、动力与工业设备,通用机械、动力与工业设备,J,manufactures,0.012346508300367088,0.9200170815748628,0.2096587886975997,0.26339387581375545,189.869,15378.356
2010,IRN,Iran,fine,J01,通用机械、动力与工业设备,通用机械、动力与工业设备,J,manufactures,0.2143728037679186,0.34990770090452256,0.24390207171382028,0.18426457392039616,2258585.622,10535784.308
2010,CAN,Canada,fine,F07,鞋帽伞杖与羽毛人发制品,鞋帽伞杖与羽毛人发制品,F,manufactures,0.6783057442737996,0.515678971842925,0.007471598341530307,0.44192203112885997,1593031.126,2348544.354
2010,KNA,Saint Kitts and Nevis,fine,F07,鞋帽伞杖与羽毛人发制品,鞋帽伞杖与羽毛人发制品,F,manufactures,0.00734524575825233,0.9105114423113178,0.04182273299862454,0.3312784805091166,92.54400000000001,12599.17
2010,ECU,Ecuador,fine,D08,塑料及其制品,塑料及其制品,D,manufactures,0.07936915864724953,0.32880107864331015,0.057760125296136215,0.12244659843865426,69059.057,870099.3960000001
