iso3,country,lon,lat
AFG,Afghanistan,67.843229,33.902427
AGO,Angola,17.860001,-11.18433
ALB,Albania,20.162263,41.156623
ARE,United Arab Emirates,53.988183,24.276206
ARG,Argentina,-63.521892,-38.541155
ARM,Armenia,45.044233,39.994665
ATA,Antarctica,0.0,-76.63533
ATF,Fr. S. Antarctic Lands,69.64,-49.2
AUS,Australia,133.7751,-25.2744
AUT,Austria,13.229818,47.735446
AZE,Azerbaijan,47.593405,40.065526
BDI,Burundi,29.888583,-3.424235
BEL,Belgium,4.335116,50.502254
BEN,Benin,2.284724,9.188897
BFA,Burkina Faso,-1.646729,12.363496
BGD,Bangladesh,90.378572,23.558704
BGR,Bulgaria,25.469304,42.734704
BHS,Bahamas,-77.99,25.375
BIH,Bosnia and Herz.,17.674893,43.941888
BLR,Belarus,27.946568,53.744317
BLZ,Belize,-88.667967,17.19346
BOL,Bolivia,-63.544397,-16.317453
BRA,Brazil,-51.9253,-14.235
BRN,Brunei,114.827364,4.727683
BTN,Bhutan,90.45898,27.507921
BWA,Botswana,24.663823,-22.245179
CAF,Central African Rep.,20.916817,6.705017
CAN,Canada,-106.3468,56.1304
CHE,Switzerland,8.232655,46.803888
CHL,Chile,-71.302158,-36.595921
CHN,China,104.1954,35.8617
CIV,C̫te d'Ivoire,-5.582535,7.431175
CMR,Cameroon,12.250834,7.293534
COD,Dem. Rep. Congo,21.678243,-4.000569
COG,Congo,14.773419,-0.654895
COL,Colombia,-72.933631,4.069558
CRI,Costa Rica,-84.243961,9.721074
CUB,Cuba,-79.576468,21.522046
CYN,N. Cyprus,33.654127,35.33597
CYP,Cyprus,33.130774,34.872497
CZE,Czechia,15.546628,49.836287
DEU,Germany,10.4515,51.1657
DJI,Djibouti,42.489806,11.813259
DNK,Denmark,10.389991,56.265016
DOM,Dominican Rep.,-70.131528,18.741737
DZA,Algeria,1.657553,28.087872
ECU,Ecuador,-78.100744,-1.789102
EGY,Egypt,30.78315,26.79284
ERI,Eritrea,39.702223,15.226862
ESH,W. Sahara,-12.864274,24.328089
ESP,Spain,-3.1767,39.847594
EST,Estonia,25.735747,58.542809
ETH,Ethiopia,40.3718,9.190745
FIN,Finland,26.080843,65.005283
FJI,Fiji,0.0,-17.154436
FLK,Falkland Is.,-59.475,-51.7
FRA,France,2.2137,46.2276
GAB,Gabon,11.611726,-0.826035
GBR,United Kingdom,-2.945319,54.2975
GEO,Georgia,43.296458,42.308774
GHA,Ghana,-1.092124,7.904402
GIN,Guinea,-11.481206,9.94761
GMB,Gambia,-15.343244,13.503388
GNB,Guinea-Bissau,-15.188964,11.834291
GNQ,Eq. Guinea,10.295346,1.646993
GRC,Greece,23.377106,38.373446
GRL,Greenland,-42.752775,71.840945
GTM,Guatemala,-90.227136,15.777332
GUY,Guyana,-58.974844,4.817562
HND,Honduras,-86.250272,14.495046
HRV,Croatia,16.523726,44.491871
HTI,Haiti,-73.041453,18.973338
HUN,Hungary,19.456415,47.191668
IDN,Indonesia,113.9213,-0.7893
IND,India,78.9629,20.5937
IRL,Ireland,-8.005036,53.400462
IRN,Iran,53.712929,32.39562
IRQ,Iraq,43.680156,33.242144
ISL,Iceland,-18.967958,65.011588
ISR,Israel,35.050915,31.389376
ITA,Italy,12.615101,41.86769
JAM,Jamaica,-77.268689,18.112667
JOR,Jordan,37.059035,31.288091
JPN,Japan,138.2529,36.2048
KAZ,Kazakhstan,66.913208,48.023787
KEN,Kenya,37.874326,0.414615
KGZ,Kyrgyzstan,74.862439,41.288901
KHM,Cambodia,104.981324,12.528564
KOR,"Korea, Rep.",127.7669,35.9078
KOS,Kosovo,20.922875,42.55958
KWT,Kuwait,47.492404,29.292566
LAO,Laos,103.840256,18.172922
LBN,Lebanon,35.868901,33.866977
LBR,Liberia,-9.489247,6.448405
LBY,Libya,17.242115,26.358733
LKA,Sri Lanka,80.741563,7.896224
LSO,Lesotho,28.162214,-29.646304
LTU,Lithuania,23.82204,55.139115
LUX,Luxembourg,5.958402,49.785359
LVA,Latvia,24.616255,56.792632
MAR,Morocco,-9.07249,28.590361
MDA,Moldova,28.321998,46.977701
MDG,Madagascar,46.865362,-18.820996
MEX,Mexico,-102.5528,23.6345
MKD,North Macedonia,21.707776,41.581493
MLI,Mali,-3.95027,17.535467
MMR,Myanmar,96.74162,19.134453
MNE,Montenegro,19.394908,42.700695
MNG,Mongolia,103.762044,46.822388
MOZ,Mozambique,35.477478,-18.529644
MRT,Mauritania,-10.99338,21.006289
MWI,Malawi,34.230035,-13.015949
MYS,Malaysia,109.63383,3.850592
NAM,Namibia,18.409321,-22.993402
NCL,New Caledonia,165.574809,-21.252811
NER,Niger,8.099447,17.565918
NGA,Nigeria,8.63444,9.053259
NIC,Nicaragua,-85.407856,12.871553
NLD,Netherlands,5.203512,52.157062
NOR,Norway,8.4689,60.472
NPL,Nepal,84.131614,28.410308
NZL,New Zealand,172.513119,-40.545949
OMN,Oman,55.904035,21.523493
PAK,Pakistan,69.35585,30.412498
PAN,Panama,-80.104175,8.416076
PER,Peru,-75.038011,-9.20259
PHL,Philippines,121.855849,12.043115
PNG,Papua New Guinea,148.510088,-6.576239
POL,Poland,19.052253,51.939466
PRI,Puerto Rico,-66.416716,18.233577
PRK,North Korea,127.522816,40.327229
PRT,Portugal,-7.957829,39.559369
PRY,Paraguay,-58.489008,-23.445623
PSE,Palestine,35.236537,31.942973
QAT,Qatar,51.175306,25.335456
ROU,Romania,24.923368,45.954663
RUS,Russian Federation,105.3188,61.524
RWA,Rwanda,29.920531,-2.026258
SAU,Saudi Arabia,45.149498,24.25445
SDN,Sudan,30.17345,15.114594
SEN,Senegal,-14.546471,14.465177
SLB,Solomon Is.,159.445002,-8.712853
SLE,Sierra Leone,-11.738322,8.41645
SLV,El Salvador,-88.909529,13.786575
SOL,Somaliland,45.753483,9.72946
SOM,Somalia,46.05746,5.170695
SRB,Serbia,20.907922,44.208477
SSD,S. Sudan,29.592493,7.87859
SUR,Suriname,-56.001369,3.921479
SVK,Slovakia,19.71906,48.665001
SVN,Slovenia,15.131459,46.152351
SWE,Sweden,17.465374,62.233992
SWZ,eSwatini,31.374137,-26.473035
SYR,Syria,39.025195,34.771405
TCD,Chad,18.713642,15.415822
TGO,Togo,0.907728,8.47376
THA,Thailand,101.482467,13.054617
TJK,Tajikistan,71.211111,38.849192
TKM,Turkmenistan,59.524305,39.011107
