year,iso3,country,topicTag,topicName,scope,dependency,hhi,importance,vulnerability,chinaImport,totalImport
2012,BEN,Benin,semiconductor_chain,半导体与电子链,all_goods,0.7119314457241485,0.7582940019497928,0.07454299735902355,0.4882254245799985,336889.581,473205.086
2012,BWA,Botswana,consumer_goods,消费制造品,all_goods,0.15614799494446505,0.7992834736376406,0.04446161550903049,0.3188184403845616,51320.585,328666.308
2012,MEX,Mexico,semiconductor_chain,半导体与电子链,all_goods,0.33227742372810715,0.35186920751637285,0.2313585638711621,0.2557173796188363,28032688.957,84365313.30499999
2012,S19,"Other Asia, nes",medical_health,医疗健康制造,manufactures,0.1908519392858436,0.28720775810722526,0.07162191046896905,0.1629257622763658,2411672.462,12636352.929
2012,UGA,Uganda,infrastructure_materials,基础设施材料,manufactures,0.1428030087106676,0.5115131790999053,0.10578639294168368,0.20211226748020997,58222.128,407709.393
2012,GAB,Gabon,consumer_goods,消费制造品,all_goods,0.22149966313693048,0.39248544187147966,0.023269152090315857,0.23356833197064208,30055.650999999998,135691.633
2012,BDI,Burundi,semiconductor_chain,半导体与电子链,all_goods,0.20101570438753932,0.5511250666063371,0.08025081058962145,0.249494271706495,6786.967,33763.367
2012,NOR,Norway,battery_chain,电池产业链,all_goods,0.25974062002689163,0.17282185183072973,0.0007000208394355199,0.1909853797112608,16412.809,63189.227
2012,PNG,Papua New Guinea,solar_pv_chain,光伏产业链,manufactures,0.16594717869068062,0.29370814122079086,0.0006335309344568076,0.1866602563986038,691.708,4168.242
2012,MYS,Malaysia,consumer_goods,消费制造品,all_goods,0.49288622140473054,0.388713269792746,0.01495035249170154,0.32987125008802737,1495321.648,3033806.958
2012,VNM,Viet Nam,battery_chain,电池产业链,all_goods,0.5121961921697644,0.45316992766737035,0.0033027030900104086,0.3620518010706043,209143.95200000002,408327.815
2012,AND,Andorra,ev_chain,新能源汽车链,manufactures,0.0013300140940126137,0.3936775199844695,0.09631894086852442,0.10854166463932467,114.393,86008.863
2012,BMU,Bermuda,consumer_goods,消费制造品,all_goods,0.031752119833812244,0.6318125231316974,0.02390614744523013,0.22849250025333376,1937.664,61024.713
2012,HRV,Croatia,ev_chain,新能源汽车链,all_goods,0.024444247552790975,0.26588497230349756,0.0455213588305477,0.08390563113750911,23988.409,981351.909
2012,KEN,Kenya,infrastructure_materials,基础设施材料,manufactures,0.22973870619688644,0.492219525230375,0.13700038805822531,0.22823628461917306,340340.23,1481423.116
2012,BMU,Bermuda,medical_health,医疗健康制造,manufactures,0.006963318407687167,0.5889510009503746,0.02319441276007541,0.15699989514372245,349.566,50201.065
2012,VNM,Viet Nam,green_manufacturing,绿色制造相关,manufactures,0.4914873165062804,0.42564804079462537,0.00919005648217337,0.34443694176535244,439542.341,894310.649
2012,MMR,Myanmar,infrastructure_materials,基础设施材料,manufactures,0.4523446927157912,0.6554703034063203,0.21525390163194788,0.3566945909056748,1134102.644,2507164.696
2012,JAM,Jamaica,industrial_equipment,工业设备,all_goods,0.1170844335235344,0.48920849122422455,0.0526449559949332,0.1966556210841676,42408.765,362206.689
2012,ETH,Ethiopia,green_manufacturing,绿色制造相关,all_goods,0.5038864173218832,0.4255461989347745,0.0020130708827069965,0.34188841562098493,13135.554,26068.482
