year,iso3,country,rank,cdi,totalImport,chinaImport,topCategory,region,incomeGroup
2008,JOR,Jordan,76,0.13996786030928418,12734241.397,1782384.521,机械、电气与电子设备,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
2008,COL,Colombia,77,0.1348114932719508,33247148.735,4482097.768,机械、电气与电子设备,Latin America & Caribbean ,Upper middle income
2008,LBY,Libya,78,0.13111206664060912,12295877.163,1612137.866,机械、电气与电子设备,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
2008,MOZ,Mozambique,79,0.12899401205992186,2162069.398,278894.006,机械、电气与电子设备,Sub-Saharan Africa ,Low income
2008,LKA,Sri Lanka,80,0.12876644510608623,9041078.8,1164187.577,纺织、服装、鞋帽与生活饰品,South Asia,Lower middle income
2008,NIC,Nicaragua,81,0.1268546311308007,2988332.374,379083.801,机械、电气与电子设备,Latin America & Caribbean ,Lower middle income
2008,LBN,Lebanon,82,0.12638720636538073,10694607.879,1351661.613,机械、电气与电子设备,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
2008,LBR,Liberia,83,0.12619592386209438,6709609.2020000005,846725.3319999999,运输设备,Sub-Saharan Africa ,Low income
2008,SEN,Senegal,84,0.12546190650879036,3383583.518,424510.839,机械、电气与电子设备,Sub-Saharan Africa ,Lower middle income
2008,MEX,Mexico,85,0.12482587625880805,248864697.906,31064753.986,机械、电气与电子设备,Latin America & Caribbean ,Upper middle income
2008,VCT,Saint Vincent and the Grenadines,86,0.12454705792205566,296312.17,36904.809,贱金属及金属制品,Latin America & Caribbean ,Upper middle income
2008,ECU,Ecuador,87,0.12241295799613268,14010957.909,1715122.802,机械、电气与电子设备,Latin America & Caribbean ,Upper middle income
2008,UKR,Ukraine,88,0.12174075965134845,60177917.979,7326105.449,机械、电气与电子设备,Europe & Central Asia,Upper middle income
2008,ARE,United Arab Emirates,89,0.12171326064943504,149046692.063,18140958.88,机械、电气与电子设备,"Middle East, North Africa, Afghanistan & Pakistan",High income
2008,UGA,Uganda,90,0.12143685502215451,3176142.234,385700.724,机械、电气与电子设备,Sub-Saharan Africa ,Low income
2008,SAU,Saudi Arabia,91,0.12066555811256344,101254779.542,12217964.485,机械、电气与电子设备,"Middle East, North Africa, Afghanistan & Pakistan",High income
2008,CAN,Canada,92,0.11985877109349183,320925781.56,38465769.79,机械、电气与电子设备,North America,High income
2008,ARM,Armenia,93,0.1192687513799104,3016463.976,359769.892,机械、电气与电子设备,Europe & Central Asia,Upper middle income
2008,DOM,Dominican Rep.,94,0.11874201569885864,11694240.466,1388597.685,机械、电气与电子设备,Latin America & Caribbean ,Upper middle income
2008,DZA,Algeria,95,0.11721904807947967,32585708.804,3819665.767,机械、电气与电子设备,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
2008,SLV,El Salvador,96,0.11706440321282449,6890357.725,806615.615,纺织、服装、鞋帽与生活饰品,Latin America & Caribbean ,Upper middle income
2008,EGY,Egypt,97,0.1112119537626933,43593178.062,4848082.503,机械、电气与电子设备,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
2008,NLD,Netherlands,98,0.109871225273018,336225259.682,36941481.249,机械、电气与电子设备,Europe & Central Asia,High income
2008,SUR,Suriname,99,0.10911501600875477,909103.812,99196.877,机械、电气与电子设备,Latin America & Caribbean ,Upper middle income
2008,SLB,Solomon Isds,100,0.10742976997575746,87531.687,9403.509,贱金属及金属制品,East Asia & Pacific,Lower middle income
2008,MLT,Malta,101,0.10678121419425073,8461685.792,903549.083,运输设备,"Middle East, North Africa, Afghanistan & Pakistan",High income
2008,GBR,United Kingdom,102,0.10675974295785769,504693115.281,53880907.26,机械、电气与电子设备,Europe & Central Asia,High income
2008,CYP,Cyprus,103,0.10629926333696735,11800267.035,1254359.693,运输设备,Europe & Central Asia,High income
2008,ZWE,Zimbabwe,104,0.1053053411792643,1424964.53,150056.376,机械、电气与电子设备,Sub-Saharan Africa ,Lower middle income
2008,VUT,Vanuatu,105,0.10489334529376902,261677.201,27448.197,机械、电气与电子设备,East Asia & Pacific,Lower middle income
2008,PAN,Panama,106,0.10482071278513064,34401468.557000004,3605986.455,纺织、服装、鞋帽与生活饰品,Latin America & Caribbean ,High income
2008,CZE,Czechia,107,0.10190465439831763,117720110.272,11996227.153,机械、电气与电子设备,Europe & Central Asia,High income
2008,TUR,TÃ¼rkiye,108,0.10163354217071625,145254656.57,14762745.264,机械、电气与电子设备,Europe & Central Asia,Upper middle income
2008,ESP,Spain,109,0.09902384057587889,292148033.562,28929620.3,机械、电气与电子设备,Europe & Central Asia,High income
