year,iso3,country,categoryLevel,categoryId,categoryName,category,parentGroupId,scope,dependency,hhi,importance,vulnerability,chinaImport,totalImport
2008,TCA,Turks and Caicos Isds,fine,L02,钟表及零件,钟表及零件,L,manufactures,0.0,0.7371733159547378,0.01631083880240825,0.20411036099291857,0.0,3901.634
2008,GHA,Ghana,fine,I05,杂项金属制品,杂项金属制品,I,manufactures,0.4725713015069203,0.460075362804639,0.007404507469445336,0.31211722542947773,20519.053,43420.015
2008,UZB,Uzbekistan,fine,F07,鞋帽伞杖与羽毛人发制品,鞋帽伞杖与羽毛人发制品,F,manufactures,0.4368085958313669,0.7323903703231426,0.0023056850450323815,0.4087720748712074,6399.28,14650.078
2008,FLK,Falkland Isds (Malvinas),fine,F07,鞋帽伞杖与羽毛人发制品,鞋帽伞杖与羽毛人发制品,F,all_goods,0.0,1.0,0.0009224428785671508,0.33446646044866546,0.0,69.889
2008,MNE,Montenegro,fine,K03,航空航天器及零部件,航空航天器及零部件,K,manufactures,0.0,0.9890938497355939,0.023799879915455412,0.24982937343658423,0.0,64532.811
2008,MDV,Maldives,fine,G03,玻璃及玻璃制品,玻璃及玻璃制品,G,all_goods,0.09128900155886888,0.3557010371540294,0.008520212930857054,0.15135233983968316,1193.24,13071.016
2008,GAB,Gabon,fine,B05,食品工业残渣与饲料,食品工业残渣与饲料,B,all_goods,0.0,0.7671024355725934,0.001387734206017824,0.19860641086228337,0.0,3168.198
2008,BIH,Bosnia Herzegovina,fine,D01,基础无机化学品,基础无机化学品,D,all_goods,0.026507918669703572,0.48713129214139156,0.014403448911813204,0.14308996170862565,4754.5470000000005,179363.27099999998
2008,BLR,Belarus,fine,L02,钟表及零件,钟表及零件,L,all_goods,0.1990373414230506,0.36178366906608095,0.00027841314801922815,0.19923671956112637,2149.58,10799.883
2008,HND,Honduras,fine,G02,陶瓷制品,陶瓷制品,G,manufactures,0.09098158835855912,0.36910653362380985,0.006794979828404669,0.15576741881310488,4015.424,44134.468
2008,SGP,Singapore,fine,B02,糖、可可、谷物乳制食品,糖、可可、谷物乳制食品,B,processed_primary_goods,0.053093621341268944,0.27085340579435035,0.23856690544548936,0.09585206415715533,52763.867,993789.191
2008,JPN,Japan,fine,A01,活动物与畜禽产品,活动物与畜禽产品,A,primary_goods,0.0012212171497400504,0.5020179760093397,0.024880039889646988,0.12844824781043235,10328.679,8457692.395
2008,TUV,Tuvalu,fine,K01,铁路及轨道交通设备,铁路及轨道交通设备,K,manufactures,0.0,1.0,0.000016464290783298102,0.34337496036808424,0.0,1.426
2008,ITA,Italy,fine,A06,粮食加工与植物工业原料,粮食加工与植物工业原料,A,primary_goods,0.02470201832296425,0.36237094442743095,0.014274462393355067,0.10942893290160485,52642.583,2131104.5239999997
2008,MAR,Morocco,fine,D01,基础无机化学品,基础无机化学品,D,manufactures,0.03658545075756773,0.6170912835030943,0.00794192064790402,0.19360356589233954,6904.977,188735.6
2008,CRI,Costa Rica,fine,F02,化学纤维与纱线,化学纤维与纱线,F,all_goods,0.10618633708791826,0.6561930462872082,0.0056933486224269875,0.2308629430316879,9805.858,92345.76000000001
2008,CHL,Chile,fine,B04,饮料、酒、醋,饮料、酒、醋,B,all_goods,0.00020619564709993803,0.3778923521011561,0.002562455530703682,0.09873676737881981,32.687,158524.2
2008,LUX,Luxembourg,fine,D05,染料、颜料、涂料与油墨,染料、颜料、涂料与油墨,D,manufactures,0.036727906469519386,0.3872762311237964,0.006255261365295507,0.11794927709942117,4363.6,118808.841
2008,MLT,Malta,fine,M02,玩具、游戏与体育用品,玩具、游戏与体育用品,M,all_goods,0.13930525437570426,0.32713017866613214,0.0033504762282288414,0.21011959877688308,4853.179,34838.449
2008,AUT,Austria,fine,F01,天然纤维与纱线,天然纤维与纱线,F,all_goods,0.008063307457294052,0.3754390073324619,0.0022416102663029383,0.13158513144154818,3116.748,386534.684
2008,TGO,Togo,fine,K01,铁路及轨道交通设备,铁路及轨道交通设备,K,all_goods,0.060695127811013355,0.883145244967129,0.0002248989648224091,0.26424527742048953,43.2,711.754
2008,DZA,Algeria,fine,K03,航空航天器及零部件,航空航天器及零部件,K,manufactures,0.00005345918006823195,0.7678850585367996,0.008761167501900567,0.1935347556102124,15.262,285488.853
2008,BGD,Bangladesh,fine,D02,基础有机化学品,基础有机化学品,D,all_goods,0.22801391488410302,0.4315575686997022,0.014526263788218627,0.20698227661677338,79683.85,349469.242
2008,HTI,Haiti,fine,E01,皮革、毛皮与箱包容器,皮革、毛皮与箱包容器,E,manufactures,0.10944482406973986,0.7476360227604152,0.004222474515314127,0.30899357530775867,619.3580000000001,5659.089
