year,iso3,country,topicTag,topicName,scope,dependency,hhi,importance,vulnerability,chinaImport,totalImport
2007,PRT,Portugal,solar_pv_chain,光伏产业链,all_goods,0.014556251137669505,0.4129217551606394,0.0027334583396522775,0.15164038781558348,3359.594,230800.772
2007,JOR,Jordan,solar_pv_chain,光伏产业链,all_goods,0.12437511448581025,0.12306971525030562,0.0007681754823572746,0.12559527444371238,1479.5140000000001,11895.579
2007,BOL,Bolivia (Plurinational State of),solar_pv_chain,光伏产业链,manufactures,0.12672791067819075,0.196120303506513,0.0017137214842022736,0.14250704307283357,828.147,6534.843
2007,FIN,Finland,consumer_goods,消费制造品,all_goods,0.24151799889766948,0.20091621290793588,0.047373707082396285,0.1936163984938915,929583.024,3848918.21
2007,IRN,Iran,infrastructure_materials,基础设施材料,manufactures,0.2738164508387947,0.598132608562994,0.2610538613341133,0.2687743853716947,2232359.713,8152759.654
2007,FSM,FS Micronesia,medical_health,医疗健康制造,all_goods,0.037034121341510975,0.9376692555158875,0.0196853901618858,0.2603842400716511,51.276999999999994,1384.588
2007,SDN,Sudan (...2011),medical_health,医疗健康制造,manufactures,0.06882745186563317,0.27971240523096763,0.0753449881885211,0.10184012406055248,45970.043,667902.7300000001
2007,IRL,Ireland,consumer_goods,消费制造品,manufactures,0.1607928692922713,0.28957023402042403,0.08071059624444454,0.18805969862404834,962876.113,5988301.081
2007,EST,Estonia,ev_chain,新能源汽车链,all_goods,0.005919769289472142,0.21322402786967104,0.12770199805854845,0.06379318660801231,12230.532,2066048.76
2007,NIU,Niue,battery_chain,电池产业链,all_goods,0.0,1.0,0.00007305652967892113,0.3154607739756904,0.0,1.118
2007,HUN,Hungary,solar_pv_chain,光伏产业链,manufactures,0.19566808145911616,0.2561419151217767,0.01223559953961251,0.18445313161095894,189529.91700000002,968629.7099999998
2007,CYP,Cyprus,industrial_equipment,工业设备,manufactures,0.0990171885921385,0.28425420667352447,0.09260308022940446,0.13253978073333358,86770.149,876314.004
2007,TUV,Tuvalu,solar_pv_chain,光伏产业链,all_goods,0.0,0.9337907075573402,0.006129705953661443,0.27592035695467304,0.0,183.399
2007,SAU,Saudi Arabia,semiconductor_chain,半导体与电子链,manufactures,0.12623977098193112,0.20150129020663307,0.12536076812868074,0.12740888893074062,1281300.713,10149738.89
2007,CYP,Cyprus,consumer_goods,消费制造品,all_goods,0.12052091824805758,0.23388484829708303,0.06211645135170106,0.1585554340261303,111007.302,921062.531
2007,TKM,Turkmenistan,ev_chain,新能源汽车链,all_goods,0.06844778318416624,0.6767098677334759,0.06839230937053717,0.20138135988208872,8616.396,125882.762
2007,MYS,Malaysia,solar_pv_chain,光伏产业链,manufactures,0.17459171500307255,0.21269897499332818,0.009538496534886292,0.16282455700547285,177463.274,1016447.2810000001
2007,YEM,Yemen,solar_pv_chain,光伏产业链,all_goods,0.24186098058968378,0.2421814087374578,0.0011184817940403731,0.1945658659914229,1361.776,5630.407999999999
2007,SVK,Slovakia,solar_pv_chain,光伏产业链,all_goods,0.24222320038871503,0.13962714506275042,0.002268525973156492,0.17576947817563074,32318.444,133424.22999999998
2007,CAN,Canada,infrastructure_materials,基础设施材料,primary_goods,0.06466444773832193,0.6364156020324825,0.013328650030728787,0.19917106879133942,44061.759,681390.788
2007,AGO,Angola,industrial_equipment,工业设备,all_goods,0.06602113428367798,0.36707655806835765,0.22282144059083459,0.1325810147777343,168500.992,2552228.068
2007,DMA,Dominica,infrastructure_materials,基础设施材料,primary_goods,0.38050942827315876,0.7393769769069525,0.07606373350383908,0.3551472170462627,1102.953,2898.622
2007,FLK,Falkland Isds (Malvinas),semiconductor_chain,半导体与电子链,manufactures,0.0,0.7617643044957347,0.26300745798141345,0.22116514718656144,0.0,11796.926
2007,LBR,Liberia,strategic_transport,战略交通装备,manufactures,0.11112639299852714,0.36674905464579277,0.9489527640900071,0.24772596371376945,626895.379,5641282.526000001
2007,DZA,Algeria,battery_chain,电池产业链,manufactures,0.034214919192231776,0.3156196488971128,0.001201289943638923,0.16159738983121133,979.6170000000001,28631.282
2007,COK,Cook Isds,green_manufacturing,绿色制造相关,manufactures,0.0,0.8639131086138427,0.004574717948406732,0.2648661353198447,0.0,318.11100000000005
2007,SYC,Seychelles,ev_chain,新能源汽车链,manufactures,0.012410290487320874,0.563324441578926,0.07948941553741362,0.1507264955330584,397.16499999999996,32002.877
2007,ANT,Netherlands Antilles (...2010),industrial_equipment,工业设备,all_goods,0.013262178578577649,0.5742664632363489,0.04988524758279814,0.1715309936212728,2829.277,213334.256
2007,NOR,Norway,infrastructure_materials,基础设施材料,all_goods,0.026363876884822956,0.44042441184520303,0.16084783796063795,0.1380512395397503,348872.331,13232967.69
2007,MWI,Malawi,medical_health,医疗健康制造,manufactures,0.03974403738584748,0.4086325386393948,0.0984466333047339,0.1265046811909837,1982.1879999999999,49873.846
2007,MRT,Mauritania,green_manufacturing,绿色制造相关,all_goods,0.0692068924892651,0.5081062788518174,0.003783550272459523,0.19452621242437715,314.86699999999996,4549.647999999999
2007,PRK,Dem. People's Rep. of Korea,strategic_transport,战略交通装备,all_goods,0.8325257136220695,0.8894422732609382,0.034040226066903004,0.5250866400744502,60300.804000000004,72431.161
2007,GRL,Greenland,consumer_goods,消费制造品,manufactures,0.028958824747487708,0.8384101808266355,0.1606568262164268,0.27101539569927463,2186.95,75519.294
2007,RUS,Russian Federation,consumer_goods,消费制造品,all_goods,0.4694646543475902,0.38678826748038897,0.05975633824132802,0.3208273824790911,5857193.852,12476325.529
