year,iso3,country,categoryLevel,categoryId,categoryName,category,parentGroupId,scope,dependency,hhi,importance,vulnerability,chinaImport,totalImport
2018,AGO,Angola,group,K,运输设备,运输设备,"",manufactures,0.050769758985488425,0.6498140264421699,0.27043260063792607,0.22150905949857244,140853.24300000002,2774353.194
2018,SHN,Saint Helena,group,F,纺织、服装、鞋帽与生活饰品,纺织、服装、鞋帽与生活饰品,"",manufactures,0.0,0.974664652170865,0.03269250623334178,0.2954829605984011,0.0,727.687
2018,VCT,Saint Vincent and the Grenadines,group,J,机械、电气与电子设备,机械、电气与电子设备,"",manufactures,0.19732354645207728,0.4484315992081283,0.15774448539671432,0.22759759941511243,11124.449,56376.693
2018,USA,USA,group,H,珠宝、贵金属与钱币,珠宝、贵金属与钱币,"",manufactures,0.04433954671760622,0.24366514521864718,0.027939990371107205,0.08458099065209584,2577622.647,58133716.689
2018,SLV,El Salvador,group,I,贱金属及金属制品,贱金属及金属制品,"",manufactures,0.2132363930215232,0.5128155309454261,0.1082914433527898,0.2302376738251977,188928.127,886003.202
2018,BHR,Bahrain,group,H,珠宝、贵金属与钱币,珠宝、贵金属与钱币,"",manufactures,0.009354314084962805,0.5952495614475606,0.0485446350110171,0.16523975475896235,5844.523,624794.394
2018,BMU,Bermuda,group,K,运输设备,运输设备,"",manufactures,0.20861909126491968,0.7372262477956874,0.5671927398901547,0.32091800297594136,153141.783,734073.675
2018,BLM,Saint BarthÃ©lemy,group,J,机械、电气与电子设备,机械、电气与电子设备,"",manufactures,0.0,0.8726575281316824,0.21917376750541143,0.2582514494796797,0.0,37231.527
2018,HND,Honduras,group,D,化学品、医药与高分子材料,化学品、医药与高分子材料,"",manufactures,0.09356049882417687,0.3304338266421891,0.24291664675671024,0.13349655742057095,184334.269,1970214.688
2018,BLZ,Belize,group,K,运输设备,运输设备,"",manufactures,0.050816418999403735,0.5921754896978987,0.15573117507356657,0.17949967919018506,5802.3730000000005,114183.036
2018,CHL,Chile,group,K,运输设备,运输设备,"",manufactures,0.09835596209212938,0.26587838621672877,0.20551642336732914,0.11195370694239806,1083465.857,11015761.871
2018,AGO,Angola,group,E,皮革、木材、纸品与印刷出版物,皮革、木材、纸品与印刷出版物,"",manufactures,0.18216904253207872,0.3871250305523184,0.034957938042632655,0.17946809515978493,65331.568999999996,358631.566
